url,final_url,status,redirect_chain,title,meta_description,canonical,robots,h1_text,h1_count,jsonld_types,og_url,og_title,og_description
/blog/how-much-save-selling-columbus-home-1-percent/,/blog/how-much-save-selling-columbus-home-1-percent/,200,,1% Commission Savings Calculator for Columbus | TD Realty,See exactly how much you save selling your Columbus home with a 1% commission realtor. Compare savings from $200K to $800K homes with our breakdown.,https://tdrealtyohio.com/blog/how-much-save-selling-columbus-home-1-percent/,,How Much Can You Save Selling Your Columbus Home for 1% Commission?,1,"Article, FAQPage",https://tdrealtyohio.com/blog/how-much-save-selling-columbus-home-1-percent/,How Much Can You Save Selling Your Columbus Home for 1% Commission?,See exactly how much you save with a 1% commission realtor in Columbus. Math breakdown and savings table included.
/blog/pre-listing-inspection-benefits/,/blog/pre-listing-inspection-benefits/,200,,Pre-Listing Inspection Benefits | Columbus Sellers,"Learn why Columbus home sellers should get a pre-listing inspection. Avoid surprises, price accurately, and sell faster with this strategic advantage.",https://tdrealtyohio.com/blog/pre-listing-inspection-benefits/,,What Is a Pre-Listing Inspection and Why Should Columbus Sellers Get One?,1,"Article, FAQPage",https://tdrealtyohio.com/blog/pre-listing-inspection-benefits/,What Is a Pre-Listing Inspection and Why Should Columbus Sellers Get One?,"Learn why Columbus home sellers should get a pre-listing inspection. Avoid surprises, price accurately, and sell faster."
/blog/selling-home-westerville-ohio-2025/,/blog/selling-home-westerville-ohio-2025/,200,,"Selling Your Home in Westerville, Ohio in 2025 | TD Realty","Guide to selling your Westerville home in 2025. Market conditions, pricing strategies, and how to maximize your sale price.",https://tdrealtyohio.com/blog/selling-home-westerville-ohio-2025/,,"Selling Your Home in Westerville, Ohio in 2025: What to Expect",1,"Article, FAQPage",https://tdrealtyohio.com/blog/selling-home-westerville-ohio-2025/,"Selling Your Home in Westerville, Ohio in 2025: What to Expect","Guide to selling your Westerville home in 2025. Market conditions, pricing strategies, and local expert advice."
/blog/why-agents-leaving-traditional-brokerages-100-commission/,/blog/why-agents-leaving-traditional-brokerages-100-commission/,200,,Why Agents Are Leaving for 100% Commission | TD Realty,The traditional commission split made sense 20 years ago. Here's why Ohio agents are switching to 100% commission models.,https://tdrealtyohio.com/blog/why-agents-leaving-traditional-brokerages-100-commission/,,Why Agents Are Leaving Traditional Brokerages for 100% Commission Models,1,Article,https://tdrealtyohio.com/blog/why-agents-leaving-traditional-brokerages-100-commission/,Why Agents Are Leaving Traditional Brokerages for 100% Commission,The traditional commission split made sense 20 years ago. Here's why more agents are switching to 100% commission models.
/buyers.html,/buyers.html,200,,Columbus First-Time Homebuyer Cash Back | TD Realty Ohio,"First-time buyers get 1% cash back at closing. On a $400K Central Ohio home, that's $4,000 back in your pocket. Full buyer representation included.",https://tdrealtyohio.com/buyers.html,,First-Time Buyer? Get 1% Back at Closing,1,"BreadcrumbList, FAQPage, FAQPage",https://tdrealtyohio.com/buyers.html,First-Time Homebuyer Cash Back | TD Realty Ohio,Get 1% of your purchase price back at closing. Full buyer representation.
/contact.html,/contact.html,200,,Contact TD Realty Ohio | Columbus Area Realtor,"Get a free consultation on selling or buying in Central Ohio. Call (614) 392-8858 or email info@tdrealtyohio.com. No obligation, just honest answers.",https://tdrealtyohio.com/contact.html,,Get in Touch,1,RealEstateAgent,https://tdrealtyohio.com/contact.html,Contact TD Realty Ohio,Get in touch to discuss your real estate goals.
/fair-housing.html,/fair-housing.html,200,,Fair Housing Statement | TD Realty Ohio,TD Realty Ohio's commitment to fair housing and equal opportunity in real estate.,https://tdrealtyohio.com/fair-housing.html,"noindex, follow",Fair Housing Statement,1,,https://tdrealtyohio.com/fair-housing.html,Fair Housing Statement | TD Realty Ohio,TD Realty Ohio's commitment to fair housing and equal opportunity in real estate.
/home-value.html,/home-value.html,200,,Free Home Valuation | What's Your Home Worth? | TD Realty,"Get a free, no-obligation home valuation from a local Central Ohio expert. Personalized market analysis based on recent sales and current conditions.",https://tdrealtyohio.com/home-value.html,,What's Your Home Worth?,1,FAQPage,https://tdrealtyohio.com/home-value.html,Free Home Valuation | TD Realty Ohio,"Get a free, no-obligation market analysis from a local expert."
/pre-listing-inspection.html,/pre-listing-inspection.html,200,,Free Pre-Listing Inspection Columbus | TD Realty Ohio,Every TD Realty Ohio listing includes a free home inspection ($400+ value). Know your Central Ohio home's condition before buyers do. Sell smarter.,https://tdrealtyohio.com/pre-listing-inspection.html,,Know Before You List,1,FAQPage,https://tdrealtyohio.com/pre-listing-inspection.html,Free Pre-Listing Home Inspection | TD Realty Ohio,Know your home's condition before buyers do. Free with every listing.
/privacy.html,/privacy.html,200,,Privacy Policy | TD Realty Ohio,"Privacy policy for TD Realty Ohio. Learn how we collect, use, and protect your personal information.",https://tdrealtyohio.com/privacy.html,"noindex, follow",Privacy Policy,1,,https://tdrealtyohio.com/privacy.html,Privacy Policy | TD Realty Ohio,"Privacy policy for TD Realty Ohio. Learn how we collect, use, and protect your personal information."
/referrals.html,/referrals.html,200,,Referral Credit Program | TD Realty Ohio,Get a $250 credit at closing when you're referred to TD Realty Ohio. Our way of saying thanks for trusting us with your real estate needs.,https://tdrealtyohio.com/referrals.html,,Referred by a Friend? Get $250 at Closing.,1,,https://tdrealtyohio.com/referrals.html,Referral Credit Program | TD Realty Ohio,Get a $250 credit at closing when you're referred by a friend.
/sellers.html,/sellers.html,200,,Sell Your Columbus Home for 1-2% | TD Realty Ohio,"List your Central Ohio home for 1-2% commission instead of 3%. Full MLS, pro photos, free inspection included. Get your free savings estimate today.",https://tdrealtyohio.com/sellers.html,,Sell Your Home for Less,1,"BreadcrumbList, FAQPage, FAQPage",https://tdrealtyohio.com/sellers.html,Sell Your Home for 1-2% Commission | TD Realty Ohio,"Save thousands on listing commissions. Full service, lower cost."
/sitemap-page.html,/sitemap-page.html,200,,Site Map | TD Realty Ohio,"Complete site map for TD Realty Ohio. Find all pages including services for sellers, buyers, agents, and community information.",https://tdrealtyohio.com/sitemap-page.html,,Site Map,1,,https://tdrealtyohio.com/sitemap-page.html,Site Map | TD Realty Ohio,"Complete site map for TD Realty Ohio. Find all pages including services for sellers, buyers, agents, and community information."
/terms.html,/terms.html,200,,Terms of Service | TD Realty Ohio,Terms of service for TD Realty Ohio website and services.,https://tdrealtyohio.com/terms.html,"noindex, follow",Terms of Service,1,,https://tdrealtyohio.com/terms.html,Terms of Service | TD Realty Ohio,Terms of service for TD Realty Ohio website and services.
